temperature,rainfall,humidity
24.36,112.09,78.40
38.77,99.87,34.76
33.30,52.85,47.73
29.97,182.18,73.06
18.90,142.99,58.57
18.90,259.71,79.09
16.45,9.63,96.90
36.65,193.16,29.32
30.03,228.88,76.77
32.70,227.85,38.43
15.51,265.82,53.16
39.25,218.71,22.63
35.81,278.34,30.87
20.31,99.80,45.58
19.55,150.96,47.36
19.59,4.22,91.97
22.61,2.09,79.35
28.12,72.04,97.77
25.80,30.24,67.93
22.28,78.06,39.34
30.30,53.11,46.21
18.49,8.56,45.59
22.30,272.79,46.12
24.16,2.47,73.84
26.40,220.82,62.46
34.63,45.64,50.83
19.99,273.67,31.93
27.86,267.84,21.77
29.81,196.17,37.51
16.16,201.67,28.60
30.19,1.60,82.84
19.26,295.46,29.00
16.63,263.35,77.94
38.72,268.53,50.85
39.14,197.77,25.87
35.21,103.44,85.02
22.62,268.09,66.37
17.44,87.46,38.86
32.11,168.81,91.57
26.00,29.92,23.62
18.05,276.59,36.15
27.38,42.23,80.16
15.86,67.47,76.75
37.73,167.44,43.14
21.47,229.23,24.96
31.56,185.81,88.65
22.79,69.64,45.10
28.00,0.28,35.66
28.67,227.15,61.28
19.62,295.56,92.82
39.24,242.97,23.48
34.38,138.06,81.26
38.49,271.13,65.80
37.37,122.95,54.04
29.95,157.48,79.53
38.05,143.14,97.27
17.21,134.29,38.34
19.90,232.56,31.49
16.13,158.03,93.03
23.13,95.02,73.52
24.72,77.45,55.04
21.78,11.32,65.86
35.72,174.96,79.65
23.92,68.99,81.84
22.02,44.44,93.59
28.57,196.15,54.15
18.52,204.36,43.47
35.05,225.65,71.17
16.86,151.07,53.26
39.67,268.22,67.57
34.31,280.90,53.60
19.97,242.21,32.24
15.14,190.68,57.55
35.39,91.12,75.27
32.67,294.88,83.94
33.23,82.24,59.47
34.28,60.80,33.22
16.85,132.65,53.18
23.96,17.05,82.90
17.90,293.55,53.03
36.58,176.53,75.72
30.58,167.09,60.58
23.27,196.74,39.30
16.59,149.11,83.69
22.77,9.62,26.74
23.13,183.69,61.99
33.24,214.85,36.71
30.94,125.02,25.37
37.18,227.19,60.23
26.81,68.10,59.96
17.99,66.38,76.55
32.83,48.43,79.58
34.02,111.60,78.22
29.03,254.10,52.76
34.27,248.37,70.54
27.34,114.85,66.16
28.07,176.74,53.72
25.69,216.24,67.78
15.64,72.36,95.78
17.70,50.44,35.43
15.79,291.63,92.46
30.91,185.27,24.28
22.86,294.42,44.67
27.71,101.33,43.05
37.69,210.91,70.11
21.23,66.78,30.50
25.26,78.36,90.59
33.89,153.57,86.28
20.72,95.89,72.17
16.92,50.29,56.67
22.24,78.86,94.64
19.03,10.72,86.46
38.24,211.33,59.95
35.20,147.63,76.15
30.84,28.27,65.35
36.79,51.51,67.04
35.09,30.76,46.48
19.66,183.78,56.97
37.31,28.26,26.25
28.48,226.28,48.59
35.19,6.15,75.67
37.40,74.81,96.26
22.95,267.20,97.05
17.75,215.56,64.46
20.70,21.89,68.53
25.68,246.34,34.86
35.45,147.91,75.62
36.52,254.03,25.65
15.17,180.22,42.77
27.77,204.55,73.47
25.44,298.05,44.82
20.55,69.70,23.99
18.00,187.18,86.55
23.44,138.10,44.83
38.57,11.84,25.05
23.08,4.34,25.98
27.97,35.77,40.14
32.58,194.73,34.24
24.09,170.15,81.94
39.29,166.03,45.73
39.06,9.56,84.38
21.29,140.79,33.91
